,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
43443,89196826a4bffff,11,0,0,0,0,0,0,1,10,0,0,Low-area,False
43454,891969c8acbffff,55,2,7,0,1,6,0,11,25,5,0,High-area,True
43509,891969526dbffff,92,1,5,5,4,0,8,10,53,7,0,High-area,True
43601,891969525bbffff,9,0,0,0,0,0,0,0,9,0,0,Low-area,False
43610,89196952097ffff,22,1,1,0,0,0,0,1,15,5,0,Low-area,True
43632,891969534a3ffff,87,1,11,3,2,1,1,19,41,9,0,High-area,True
43719,8919695203bffff,7,1,0,0,0,0,0,1,6,0,0,Low-area,True
43726,891969c9b8fffff,65,2,14,6,2,4,0,27,11,1,0,High-area,True
43791,891969c832fffff,3,0,0,0,0,0,1,0,2,0,0,Low-area,False
43794,89196953607ffff,44,2,0,0,0,1,1,6,32,4,0,High-area,True
43838,891969504a3ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
43839,891969c9e93ffff,47,2,0,0,0,0,1,6,35,5,0,High-area,True
43886,891968248d3ffff,3,0,0,0,0,0,0,2,1,0,0,Low-area,False
43889,89196953263ffff,77,5,0,1,1,0,2,12,50,11,0,High-area,True
43966,891969532dbffff,96,1,14,4,1,0,0,57,14,6,0,High-area,True
44062,89196953237ffff,30,0,0,0,1,0,0,1,22,6,0,High-area,False
44092,891969533b7ffff,13,3,0,1,0,0,2,0,6,4,0,Low-area,True
44105,891969c9e33ffff,54,4,0,2,0,1,0,6,36,9,0,High-area,True
44159,8919695300fffff,71,3,7,2,1,1,0,8,46,6,0,High-area,True
44230,89196952607ffff,87,2,4,1,3,0,4,14,42,19,0,High-area,True
44317,891969c8b8fffff,8,0,2,0,0,1,1,0,4,0,0,Low-area,False
44325,891969cd61bffff,23,1,2,0,0,0,2,1,18,0,0,Low-area,True
44348,891969c8b77ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
44349,89196826933ffff,48,0,2,2,1,0,2,8,25,8,0,High-area,False
44397,891969520afffff,7,1,0,0,0,0,0,0,5,2,0,Low-area,True
44404,8919695340bffff,80,2,4,1,0,0,1,8,50,16,0,High-area,True
44484,891969526cfffff,87,0,7,3,6,2,3,12,48,6,0,High-area,False
44571,8919695269bffff,70,5,3,1,5,1,0,9,45,6,0,High-area,True
44641,891969522b7ffff,95,4,1,2,1,0,0,7,83,1,0,High-area,True
44736,8919682458fffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,False
44737,8919695242fffff,3,0,1,0,0,0,0,1,1,0,0,Low-area,False
44740,8919695320bffff,51,3,1,1,1,1,1,2,37,7,0,High-area,True
44791,89196952203ffff,84,4,1,1,1,0,0,19,46,16,0,High-area,True
44875,89196826d0fffff,4,0,0,0,0,0,0,1,2,1,0,Low-area,False
44879,891969c9867ffff,22,3,1,0,2,0,0,5,14,0,0,Low-area,True
44901,89196952007ffff,52,3,1,2,2,0,2,8,28,9,0,High-area,True
44953,891969535abffff,99,1,14,4,2,0,3,22,41,13,0,High-area,True
45052,8919695260fffff,80,4,7,2,2,0,4,7,48,10,0,High-area,True
45132,89196952217ffff,90,1,6,0,2,0,0,30,39,13,0,High-area,True
45222,89196952627ffff,73,2,11,3,0,2,1,18,30,8,0,High-area,True
45295,891969c9e87ffff,40,2,2,1,0,2,2,5,26,2,0,High-area,True
45335,89196952623ffff,82,4,14,3,3,4,1,17,29,11,0,High-area,True
45417,891969c9d33ffff,16,1,1,1,0,1,1,0,9,3,0,Low-area,True
45433,89196826aafffff,6,1,0,0,0,0,0,0,5,1,0,Low-area,True
45439,8919695202fffff,4,0,0,0,0,0,0,0,3,1,0,Low-area,False
45443,89196824563ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
45444,89196826b33ffff,55,1,8,0,0,7,1,7,26,6,0,High-area,True
45499,8919682690bffff,78,4,8,0,1,0,4,3,58,4,0,High-area,True
45577,891969c9a0fffff,12,0,0,1,2,0,0,0,6,3,0,Low-area,False
45589,891969c9e8bffff,48,0,1,0,0,2,0,21,21,3,0,High-area,False
45637,8919695320fffff,90,2,6,0,3,2,1,25,44,9,0,High-area,True
45727,891969c9b5bffff,69,2,4,2,4,2,0,14,39,4,0,High-area,True
45796,891969530b3ffff,75,2,0,1,0,0,4,4,63,3,0,High-area,True
45871,89196953623ffff,35,1,0,2,1,3,2,5,19,3,0,High-area,True
45906,891968249a3ffff,59,1,0,0,0,2,1,8,38,10,0,High-area,True
45965,891969c9c5bffff,42,1,2,2,0,0,1,5,31,1,0,High-area,True
46007,891969c9977ffff,97,0,3,2,2,2,3,9,70,6,0,High-area,False
46104,89196953453ffff,73,4,4,0,1,3,3,7,48,7,0,High-area,True
46177,891969530afffff,89,1,15,6,2,2,2,16,43,3,0,High-area,True
46266,891969c8817ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
46267,89196826b77ffff,84,2,4,4,0,1,0,24,44,7,0,High-area,True
46351,891969cd63bffff,86,3,4,1,2,3,0,12,56,7,1,High-area,True
46437,891968240a7ffff,5,0,0,0,0,0,0,4,1,0,0,Low-area,False
46442,89196952017ffff,91,3,5,0,0,0,0,40,37,9,0,High-area,True
46533,89196826da3ffff,4,0,0,0,0,0,0,0,4,0,0,Low-area,False
46537,8919695359bffff,93,1,5,2,6,1,6,11,55,7,0,High-area,True
46630,89196824997ffff,56,2,4,2,0,2,1,10,34,3,0,High-area,True
46686,8919695321bffff,26,1,0,0,1,2,1,2,14,6,0,Low-area,True
46712,891969524cbffff,96,1,8,2,1,2,0,25,48,10,0,High-area,True
46808,891969c9a8bffff,91,4,3,4,3,2,1,17,57,4,0,High-area,True
