,0
852,891e80c9dd7ffff
853,891e8058607ffff
854,891e804048bffff
855,891e8057473ffff
856,891e80cf3cfffff
857,891e8042653ffff
858,891e80cc483ffff
859,891e805b143ffff
860,891e80424afffff
861,891e8058137ffff
862,891e8055543ffff
863,891e804206fffff
864,891e80540afffff
865,891e8051087ffff
866,891e8050e9bffff
867,891e8624e2fffff
868,891e805158fffff
869,891e80599a7ffff
870,891e805a0d3ffff
871,891e804024fffff
872,891e8051443ffff
873,891e8042457ffff
874,891e8059993ffff
875,891e8052e83ffff
876,891e80c8a37ffff
877,891e805aed7ffff
878,891e80cd5d7ffff
879,891e8054313ffff
880,891e8058a83ffff
881,891e805a813ffff
882,891e8054c9bffff
883,891e80412b7ffff
884,891e80ca32fffff
885,891e8058c63ffff
886,891e8040443ffff
887,891e862450bffff
888,891e80cdc37ffff
889,891e804252fffff
890,891e80c8c13ffff
891,891e80cf31bffff
892,891e8058aafffff
893,891e805a147ffff
894,891e80cea7bffff
895,891e80cd313ffff
896,891e8042c83ffff
897,891e8009523ffff
898,891e805829bffff
899,891e80546bbffff
900,891e80525d7ffff
901,891e80ca2b3ffff
902,891e8056e27ffff
903,891e80cabb7ffff
904,891e805637bffff
905,891e805b56fffff
906,891e805b3c3ffff
907,891e8058a37ffff
908,891e8051dcfffff
909,891e8043127ffff
910,891e80cb323ffff
911,891e8051477ffff
912,891e80cc43bffff
913,891e8041513ffff
914,891e80c9bbbffff
915,891e8624b0bffff
916,891e80cd587ffff
917,891e8626a4bffff
918,891e804261bffff
919,891e804222bffff
920,891e8056aa3ffff
921,891e80cdc8bffff
922,891e804140bffff
923,891e80522d3ffff
924,891e8051617ffff
925,891e8624557ffff
926,891e80cf14bffff
927,891e80cb513ffff
928,891e8624183ffff
929,891e80c9a0fffff
930,891e8051a77ffff
931,891e8043203ffff
932,891e80531c7ffff
933,891e805a5bbffff
934,891e8054ccbffff
935,891e80515cbffff
936,891e805359bffff
937,891e8042ca3ffff
938,891e8626a97ffff
939,891e804a463ffff
940,891e805b03bffff
941,891e805993bffff
942,891e8052053ffff
943,891e8052853ffff
